protein_accession_clean,gene_symbol,protein_name_final,HPX,Tf,control,present_in_HPX,present_in_Tf,present_in_control,candidate_HPX_specific,candidate_shared_HPX_Tf,candidate_HPX_over_background_score
P01857,IGHG1,Immunoglobulin heavy constant gamma 1,2.0,2.0,1.0,True,True,True,False,True,1.0
P01859,IGHG2,Immunoglobulin heavy constant gamma 2,2.0,2.0,1.0,True,True,True,False,True,1.0
P01861,IGHG4,Immunoglobulin heavy constant gamma 4,2.0,2.0,1.0,True,True,True,False,True,1.0
P02042,HBD,Hemoglobin subunit delta,2.0,0.0,1.0,True,False,True,False,False,1.0
P04196,HRG,Histidine-rich glycoprotein,2.0,0.0,1.0,True,False,True,False,False,1.0
P05156,CFI,Complement factor I,2.0,2.0,1.0,True,True,True,False,True,1.0
P19474,TRIM21,E3 ubiquitin-protein ligase TRIM21,2.0,1.0,1.0,True,True,True,False,True,1.0
P68871,HBB,Hemoglobin subunit beta,2.0,0.0,1.0,True,False,True,False,False,1.0
Q14624,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4,2.0,2.0,1.0,True,True,True,False,True,1.0
P02787,TF,Serotransferrin,4.0,2.0,4.0,True,True,True,False,True,0.0
P02790,HPX,Hemopexin,4.0,2.0,4.0,True,True,True,False,True,0.0
P13646,KRT13,"Keratin, type I cytoskeletal 13",4.0,0.0,4.0,True,False,True,False,False,0.0
Q71U36,TUBA1A,Tubulin alpha-1A chain,4.0,1.0,4.0,True,True,True,False,True,0.0
Q7Z3Y8,KRT27,"Keratin, type I cytoskeletal 27",4.0,2.0,4.0,True,True,True,False,True,0.0
Q9BQE3,TUBA1C,Tubulin alpha-1C chain,4.0,1.0,4.0,True,True,True,False,True,0.0
P56470,LGALS4,Galectin-4,3.0,0.0,3.0,True,False,True,False,False,0.0
P00387,CYB5R3,NADH-cytochrome b5 reductase 3,2.0,0.0,2.0,True,False,True,False,False,0.0
P02649,APOE,Apolipoprotein E,2.0,0.0,2.0,True,False,True,False,False,0.0
P13489,RNH1,Ribonuclease inhibitor,2.0,0.0,2.0,True,False,True,False,False,0.0
P22061,PCMT1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,2.0,0.0,2.0,True,False,True,False,False,0.0
Q00266,MAT1A,S-adenosylmethionine synthase isoform type-1,2.0,0.0,2.0,True,False,True,False,False,0.0
O75310,UGT2B11,UDP-glucuronosyltransferase 2B11,1.0,0.0,1.0,True,False,True,False,False,0.0
P04004,VTN,Vitronectin,1.0,0.0,1.0,True,False,True,False,False,0.0
P69905,HBA1,Hemoglobin subunit alpha,1.0,0.0,1.0,True,False,True,False,False,0.0
Q8NBX0,SCCPDH,Saccharopine dehydrogenase-like oxidoreductase,1.0,0.0,1.0,True,False,True,False,False,0.0
Q9BYX7,POTEKP,Putative beta-actin-like protein 3,1.0,1.0,1.0,True,True,True,False,True,0.0
A0A0B4J2B5,IGHV3OR16-9,Immunoglobulin heavy variable 3/OR16-9 (non-functional),0.0,1.0,0.0,False,True,False,False,False,0.0
P00746,CFD,Complement factor D,0.0,1.0,0.0,False,True,False,False,False,0.0
P17936,IGFBP3,Insulin-like growth factor-binding protein 3,0.0,1.0,0.0,False,True,False,False,False,0.0
