protein_accession_clean,uniprot_id,gene_symbol,protein_name_uniprot,organism_name,annotation_source
P62280,RS11_HUMAN,RPS11,Small ribosomal subunit protein uS17,Homo sapiens,uniprot_api
P62269,RS18_HUMAN,RPS18,Small ribosomal subunit protein uS13,Homo sapiens,uniprot_api
P62330,ARF6_HUMAN,ARF6,ADP-ribosylation factor 6,Homo sapiens,uniprot_api
P62736,ACTA_HUMAN,ACTA2,"Actin, aortic smooth muscle",Homo sapiens,uniprot_api
P62834,RAP1A_HUMAN,RAP1A,Ras-related protein Rap-1A,Homo sapiens,uniprot_api
P62841,RS15_HUMAN,RPS15,Small ribosomal subunit protein uS19,Homo sapiens,uniprot_api
P62851,RS25_HUMAN,RPS25,Small ribosomal subunit protein eS25,Homo sapiens,uniprot_api
P62854,RS26_HUMAN,RPS26,Small ribosomal subunit protein eS26,Homo sapiens,uniprot_api
P62273,RS29_HUMAN,RPS29,Small ribosomal subunit protein uS14,Homo sapiens,uniprot_api
P62753,RS6_HUMAN,RPS6,Small ribosomal subunit protein eS6,Homo sapiens,uniprot_api
P62829,RL23_HUMAN,RPL23,Large ribosomal subunit protein uL14,Homo sapiens,uniprot_api
P62847,RS24_HUMAN,RPS24,Small ribosomal subunit protein eS24,Homo sapiens,uniprot_api
P62263,RS14_HUMAN,RPS14,Small ribosomal subunit protein uS11,Homo sapiens,uniprot_api
P62424,RL7A_HUMAN,RPL7A,Large ribosomal subunit protein eL8,Homo sapiens,uniprot_api
P62750,RL23A_HUMAN,RPL23A,Large ribosomal subunit protein uL23,Homo sapiens,uniprot_api
P62318,SMD3_HUMAN,SNRPD3,Small nuclear ribonucleoprotein Sm D3,Homo sapiens,uniprot_api
P62491,RB11A_HUMAN,RAB11A,Ras-related protein Rab-11A,Homo sapiens,uniprot_api
P62820,RAB1A_HUMAN,RAB1A,Ras-related protein Rab-1A,Homo sapiens,uniprot_api
P62906,RL10A_HUMAN,RPL10A,Large ribosomal subunit protein uL1,Homo sapiens,uniprot_api
P62913,RL11_HUMAN,RPL11,Large ribosomal subunit protein uL5,Homo sapiens,uniprot_api
P63167,DYL1_HUMAN,DYNLL1,"Dynein light chain 1, cytoplasmic",Homo sapiens,uniprot_api
P63244,RACK1_HUMAN,RACK1,Small ribosomal subunit protein RACK1,Homo sapiens,uniprot_api
P63104,1433Z_HUMAN,YWHAZ,14-3-3 protein zeta/delta,Homo sapiens,uniprot_api
P62861,RS30_HUMAN,FAU,Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein,Homo sapiens,uniprot_api
P62937,PPIA_HUMAN,PPIA,Peptidyl-prolyl cis-trans isomerase A,Homo sapiens,uniprot_api
P62879,GBB2_HUMAN,GNB2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,Homo sapiens,uniprot_api
P62888,RL30_HUMAN,RPL30,Large ribosomal subunit protein eL30,Homo sapiens,uniprot_api
P62979,RS27A_HUMAN,RPS27A,Ubiquitin-ribosomal protein eS31 fusion protein,Homo sapiens,uniprot_api
P63151,2ABA_HUMAN,PPP2R2A,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,Homo sapiens,uniprot_api
P63173,RL38_HUMAN,RPL38,Large ribosomal subunit protein eL38,Homo sapiens,uniprot_api
P63208,SKP1_HUMAN,SKP1,S-phase kinase-associated protein 1,Homo sapiens,uniprot_api
P67809,YBOX1_HUMAN,YBX1,Y-box-binding protein 1,Homo sapiens,uniprot_api
P68032,ACTC_HUMAN,ACTC1,"Actin, alpha cardiac muscle 1",Homo sapiens,uniprot_api
P62857,RS28_HUMAN,RPS28,Small ribosomal subunit protein eS28,Homo sapiens,uniprot_api
P62891,RL39_HUMAN,RPL39,Large ribosomal subunit protein eL39,Homo sapiens,uniprot_api
P62910,RL32_HUMAN,RPL32,Large ribosomal subunit protein eL32,Homo sapiens,uniprot_api
P63267,ACTH_HUMAN,ACTG2,"Actin, gamma-enteric smooth muscle",Homo sapiens,uniprot_api
P62917,RL8_HUMAN,RPL8,Large ribosomal subunit protein uL2,Homo sapiens,uniprot_api
P62987,RL40_HUMAN,UBA52,Ubiquitin-ribosomal protein eL40 fusion protein,Homo sapiens,uniprot_api
P63261,ACTG_HUMAN,ACTG1,"Actin, cytoplasmic 2",Homo sapiens,uniprot_api
P62899,RL31_HUMAN,RPL31,Large ribosomal subunit protein eL31,Homo sapiens,uniprot_api
P63000,RAC1_HUMAN,RAC1,Ras-related C3 botulinum toxin substrate 1,Homo sapiens,uniprot_api
P63010,AP2B1_HUMAN,AP2B1,AP-2 complex subunit beta,Homo sapiens,uniprot_api
P69892,HBG2_HUMAN,HBG2,Hemoglobin subunit gamma-2,Homo sapiens,uniprot_api
P69905,HBA_HUMAN,HBA1,Hemoglobin subunit alpha,Homo sapiens,uniprot_api
P68871,HBB_HUMAN,HBB,Hemoglobin subunit beta,Homo sapiens,uniprot_api
P68363,TBA1B_HUMAN,TUBA1B,Tubulin alpha-1B chain,Homo sapiens,uniprot_api
