protein_accession_clean,uniprot_id,gene_symbol,protein_name_uniprot,organism_name,annotation_source
Q15181,IPYR_HUMAN,PPA1,Inorganic pyrophosphatase,Homo sapiens,uniprot_api
Q53FV1,ORML2_HUMAN,ORMDL2,ORM1-like protein 2,Homo sapiens,uniprot_api
Q2M389,WASC4_HUMAN,WASHC4,WASH complex subunit 4,Homo sapiens,uniprot_api
Q3LXA3,TKFC_HUMAN,TKFC,Triokinase/FMN cyclase,Homo sapiens,uniprot_api
Q3ZCM7,TBB8_HUMAN,TUBB8,Tubulin beta-8 chain,Homo sapiens,uniprot_api
Q4G0J3,LARP7_HUMAN,LARP7,La-related protein 7,Homo sapiens,uniprot_api
Q53GQ0,DHB12_HUMAN,HSD17B12,Very-long-chain 3-oxoacyl-CoA reductase,Homo sapiens,uniprot_api
Q16851,UGPA_HUMAN,UGP2,UTP--glucose-1-phosphate uridylyltransferase,Homo sapiens,uniprot_api
Q4AC94,C2CD3_HUMAN,C2CD3,C2 domain-containing protein 3,Homo sapiens,uniprot_api
Q58FF7,H90B3_HUMAN,HSP90AB3P,Putative heat shock protein HSP 90-beta-3,Homo sapiens,uniprot_api
Q16850,CP51A_HUMAN,CYP51A1,Lanosterol 14-alpha demethylase,Homo sapiens,uniprot_api
Q3SY69,AL1L2_HUMAN,ALDH1L2,Mitochondrial 10-formyltetrahydrofolate dehydrogenase,Homo sapiens,uniprot_api
Q5D862,FILA2_HUMAN,FLG2,Filaggrin-2,Homo sapiens,uniprot_api
Q4G0N4,NADK2_HUMAN,NADK2,"NAD kinase 2, mitochondrial",Homo sapiens,uniprot_api
Q5BJD5,TM41B_HUMAN,TMEM41B,Transmembrane protein 41B,Homo sapiens,uniprot_api
Q5BJF2,SGMR2_HUMAN,TMEM97,Sigma intracellular receptor 2,Homo sapiens,uniprot_api
Q16787,LAMA3_HUMAN,LAMA3,Laminin subunit alpha-3,Homo sapiens,uniprot_api
Q16822,PCKGM_HUMAN,PCK2,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",Homo sapiens,uniprot_api
Q16853,AOC3_HUMAN,AOC3,Amine oxidase [copper-containing] 3,Homo sapiens,uniprot_api
Q58FF8,H90B2_HUMAN,HSP90AB2P,Putative heat shock protein HSP 90-beta 2,Homo sapiens,uniprot_api
Q5JU69,TOR2A_HUMAN,TOR2A,Torsin-2A,Homo sapiens,uniprot_api
Q2VIR3,IF2GL_HUMAN,EIF2S3B,Eukaryotic translation initiation factor 2 subunit 3B,Homo sapiens,uniprot_api
Q58FG0,HS905_HUMAN,HSP90AA5P,Putative heat shock protein HSP 90-alpha A5,Homo sapiens,uniprot_api
Q58FF3,ENPLL_HUMAN,HSP90B2P,Putative endoplasmin-like protein,Homo sapiens,uniprot_api
Q59GN2,R39L5_HUMAN,RPL39P5,Putative ribosomal protein eL39-like 5,Homo sapiens,uniprot_api
Q5JNZ5,RS26L_HUMAN,RPS26P11,Putative ribosomal protein eS26-like,Homo sapiens,uniprot_api
Q5T749,KPRP_HUMAN,KPRP,Keratinocyte proline-rich protein,Homo sapiens,uniprot_api
Q5TAQ9,DCAF8_HUMAN,DCAF8,DDB1- and CUL4-associated factor 8,Homo sapiens,uniprot_api
Q5VWZ2,LYPL1_HUMAN,LYPLAL1,Lysophospholipase-like protein 1,Homo sapiens,uniprot_api
Q6FI13,H2A2A_HUMAN,H2AC18,Histone H2A type 2-A,Homo sapiens,uniprot_api
Q6IE81,JADE1_HUMAN,JADE1,Protein Jade-1,Homo sapiens,uniprot_api
Q6IB77,GLYAT_HUMAN,GLYAT,Glycine N-acyltransferase,Homo sapiens,uniprot_api
Q6P1A2,MBOA5_HUMAN,LPCAT3,Lysophospholipid acyltransferase 5,Homo sapiens,uniprot_api
Q5SRE7,PHYD1_HUMAN,PHYHD1,Phytanoyl-CoA dioxygenase domain-containing protein 1,Homo sapiens,uniprot_api
Q5T2W1,NHRF3_HUMAN,PDZK1,Na(+)/H(+) exchange regulatory cofactor NHE-RF3,Homo sapiens,uniprot_api
Q5TCH4,CP4AM_HUMAN,CYP4A22,Cytochrome P450 4A22,Homo sapiens,uniprot_api
Q6P3W7,SCYL2_HUMAN,SCYL2,SCY1-like protein 2,Homo sapiens,uniprot_api
Q5TA31,RN187_HUMAN,RNF187,E3 ubiquitin-protein ligase RNF187,Homo sapiens,uniprot_api
Q5VT66,MARC1_HUMAN,MTARC1,Mitochondrial amidoxime-reducing component 1,Homo sapiens,uniprot_api
Q658P3,STEA3_HUMAN,STEAP3,Metalloreductase STEAP3,Homo sapiens,uniprot_api
Q68CK6,ACS2B_HUMAN,ACSM2B,"Acyl-coenzyme A synthetase ACSM2B, mitochondrial",Homo sapiens,uniprot_api
Q6DD88,ATLA3_HUMAN,ATL3,Atlastin-3,Homo sapiens,uniprot_api
Q6NZI2,CAVN1_HUMAN,CAVIN1,Caveolae-associated protein 1,Homo sapiens,uniprot_api
Q5VW38,GP107_HUMAN,GPR107,Protein GPR107,Homo sapiens,uniprot_api
Q6N069,NAA16_HUMAN,NAA16,"N-alpha-acetyltransferase 16, NatA auxiliary subunit",Homo sapiens,uniprot_api
Q5VTE0,EF1A3_HUMAN,EEF1A1P5,Putative elongation factor 1-alpha-like 3,Homo sapiens,uniprot_api
Q66LE6,2ABD_HUMAN,PPP2R2D,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform,Homo sapiens,uniprot_api
Q6IAN0,PEXRP_HUMAN,DHRS7B,Peroxisomal reductase activating PPAR-gamma,Homo sapiens,uniprot_api
Q5SYE7,NHSL1_HUMAN,NHSL1,NHS-like protein 1,Homo sapiens,uniprot_api
Q6NVV1,R13P3_HUMAN,RPL13AP3,Putative ribosomal protein uL13-like,Homo sapiens,uniprot_api
Q5R3I4,TTC38_HUMAN,TTC38,Tetratricopeptide repeat protein 38,Homo sapiens,uniprot_api
Q7RTS7,K2C74_HUMAN,KRT74,"Keratin, type II cytoskeletal 74",Homo sapiens,uniprot_api
Q7Z3Y9,K1C26_HUMAN,KRT26,"Keratin, type I cytoskeletal 26",Homo sapiens,uniprot_api
Q7Z3Z0,K1C25_HUMAN,KRT25,"Keratin, type I cytoskeletal 25",Homo sapiens,uniprot_api
Q7Z3Y8,K1C27_HUMAN,KRT27,"Keratin, type I cytoskeletal 27",Homo sapiens,uniprot_api
Q6UW68,TM205_HUMAN,TMEM205,Transmembrane protein 205,Homo sapiens,uniprot_api
Q6YN16,HSDL2_HUMAN,HSDL2,Hydroxysteroid dehydrogenase-like protein 2,Homo sapiens,uniprot_api
Q70CQ2,UBP34_HUMAN,USP34,Ubiquitin carboxyl-terminal hydrolase 34,Homo sapiens,uniprot_api
Q7L7L0,H2A3_HUMAN,H2AC25,Histone H2A type 3,Homo sapiens,uniprot_api
Q6XQN6,PNCB_HUMAN,NAPRT,Nicotinate phosphoribosyltransferase,Homo sapiens,uniprot_api
Q6UXV4,MIC27_HUMAN,APOOL,MICOS complex subunit MIC27,Homo sapiens,uniprot_api
Q6S8J3,POTEE_HUMAN,POTEE,POTE ankyrin domain family member E,Homo sapiens,uniprot_api
Q6UX53,TMT1B_HUMAN,TMT1B,Thiol S-methyltransferase TMT1B,Homo sapiens,uniprot_api
Q6PEY2,TBA3E_HUMAN,TUBA3E,Tubulin alpha-3E chain,Homo sapiens,uniprot_api
Q709F0,ACD11_HUMAN,ACAD11,Acyl-CoA dehydrogenase family member 11,Homo sapiens,uniprot_api
Q71U36,TBA1A_HUMAN,TUBA1A,Tubulin alpha-1A chain,Homo sapiens,uniprot_api
Q7L2E3,DHX30_HUMAN,DHX30,ATP-dependent RNA helicase DHX30,Homo sapiens,uniprot_api
Q7Z406,MYH14_HUMAN,MYH14,Myosin-14,Homo sapiens,uniprot_api
Q6UY14,ATL4_HUMAN,ADAMTSL4,ADAMTS-like protein 4,Homo sapiens,uniprot_api
Q71UI9,H2AV_HUMAN,H2AZ2,Histone H2A.V,Homo sapiens,uniprot_api
Q7Z2W4,ZCCHV_HUMAN,ZC3HAV1,Zinc finger CCCH-type antiviral protein 1,Homo sapiens,uniprot_api
Q6ZMR3,LDH6A_HUMAN,LDHAL6A,L-lactate dehydrogenase A-like 6A,Homo sapiens,uniprot_api
Q6ZS86,GLPK5_HUMAN,GK5,Glycerol kinase 5,Homo sapiens,uniprot_api
Q7RTV2,GSTA5_HUMAN,GSTA5,Glutathione S-transferase A5,Homo sapiens,uniprot_api
Q71UM5,RS27L_HUMAN,RPS27L,Ribosomal protein eS27-like,Homo sapiens,uniprot_api
Q6UWP8,SBSN_HUMAN,SBSN,Suprabasin,Homo sapiens,uniprot_api
Q86W24,NAL14_HUMAN,NLRP14,"NACHT, LRR and PYD domains-containing protein 14",Homo sapiens,uniprot_api
Q86WA6,BPHL_HUMAN,BPHL,Serine hydrolase BPHL,Homo sapiens,uniprot_api
Q86WU2,LDHD_HUMAN,LDHD,"D-lactate dehydrogenase, mitochondrial",Homo sapiens,uniprot_api
Q7Z4W1,DCXR_HUMAN,DCXR,L-xylulose reductase,Homo sapiens,uniprot_api
Q7Z5P4,DHB13_HUMAN,HSD17B13,17-beta-hydroxysteroid dehydrogenase 13,Homo sapiens,uniprot_api
Q86UE4,LYRIC_HUMAN,MTDH,Protein LYRIC,Homo sapiens,uniprot_api
Q86VI3,IQGA3_HUMAN,IQGAP3,Ras GTPase-activating-like protein IQGAP3,Homo sapiens,uniprot_api
Q86VP6,CAND1_HUMAN,CAND1,Cullin-associated NEDD8-dissociated protein 1,Homo sapiens,uniprot_api
Q86XE5,HOGA1_HUMAN,HOGA1,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",Homo sapiens,uniprot_api
Q86YV5,PRAG1_HUMAN,PRAG1,Inactive tyrosine-protein kinase PRAG1,Homo sapiens,uniprot_api
Q8IWA0,WDR75_HUMAN,WDR75,WD repeat-containing protein 75,Homo sapiens,uniprot_api
Q7Z7H5,TMED4_HUMAN,TMED4,Transmembrane emp24 domain-containing protein 4,Homo sapiens,uniprot_api
Q86YZ3,HORN_HUMAN,HRNR,Hornerin,Homo sapiens,uniprot_api
Q8IV36,HID1_HUMAN,HID1,Protein HID1,Homo sapiens,uniprot_api
Q8IVH4,MMAA_HUMAN,MMAA,"Methylmalonic aciduria type A protein, mitochondrial",Homo sapiens,uniprot_api
Q86U42,PABP2_HUMAN,PABPN1,Polyadenylate-binding protein 2,Homo sapiens,uniprot_api
Q8IUE6,H2A2B_HUMAN,H2AC21,Histone H2A type 2-B,Homo sapiens,uniprot_api
Q8IVS8,GLCTK_HUMAN,GLYCTK,Glycerate kinase,Homo sapiens,uniprot_api
Q86Y46,K2C73_HUMAN,KRT73,"Keratin, type II cytoskeletal 73",Homo sapiens,uniprot_api
Q7Z7A1,CNTRL_HUMAN,CNTRL,Centriolin,Homo sapiens,uniprot_api
Q8IVF2,AHNK2_HUMAN,AHNAK2,Protein AHNAK2,Homo sapiens,uniprot_api
Q7Z4V5,HDGR2_HUMAN,HDGFL2,Hepatoma-derived growth factor-related protein 2,Homo sapiens,uniprot_api
Q8IUD2,RB6I2_HUMAN,ERC1,ELKS/Rab6-interacting/CAST family member 1,Homo sapiens,uniprot_api
Q86YQ8,CPNE8_HUMAN,CPNE8,Copine-8,Homo sapiens,uniprot_api
Q8IUB2,WFDC3_HUMAN,WFDC3,WAP four-disulfide core domain protein 3,Homo sapiens,uniprot_api
Q8N2U9,S66A2_HUMAN,SLC66A2,Solute carrier family 66 member 2,Homo sapiens,uniprot_api
Q8N1A0,KT222_HUMAN,KRT222,Keratin-like protein KRT222,Homo sapiens,uniprot_api
Q8NBQ5,DHB11_HUMAN,HSD17B11,Estradiol 17-beta-dehydrogenase 11,Homo sapiens,uniprot_api
Q8NDH6,ICA1L_HUMAN,ICA1L,Islet cell autoantigen 1-like protein,Homo sapiens,uniprot_api
Q8N138,ORML3_HUMAN,ORMDL3,ORM1-like protein 3,Homo sapiens,uniprot_api
Q8NFQ8,TOIP2_HUMAN,TOR1AIP2,Torsin-1A-interacting protein 2,Homo sapiens,uniprot_api
Q8N339,MT1M_HUMAN,MT1M,Metallothionein-1M,Homo sapiens,uniprot_api
Q8N4T8,CBR4_HUMAN,CBR4,3-oxoacyl-[acyl-carrier-protein] reductase,Homo sapiens,uniprot_api
Q8NC51,SERB1_HUMAN,SERBP1,SERPINE1 mRNA-binding protein 1,Homo sapiens,uniprot_api
Q8IYJ1,CPNE9_HUMAN,CPNE9,Copine-9,Homo sapiens,uniprot_api
Q8N149,LIRA2_HUMAN,LILRA2,Leukocyte immunoglobulin-like receptor subfamily A member 2,Homo sapiens,uniprot_api
Q8N1N4,K2C78_HUMAN,KRT78,"Keratin, type II cytoskeletal 78",Homo sapiens,uniprot_api
Q8N7U6,EFHB_HUMAN,EFHB,EF-hand domain-containing family member B,Homo sapiens,uniprot_api
Q8NDL9,CBPC5_HUMAN,AGBL5,Cytosolic carboxypeptidase-like protein 5,Homo sapiens,uniprot_api
Q8IYE0,CC146_HUMAN,CCDC146,Coiled-coil domain-containing protein 146,Homo sapiens,uniprot_api
Q8N1T3,MYO1H_HUMAN,MYO1H,Unconventional myosin-Ih,Homo sapiens,uniprot_api
Q8NE71,ABCF1_HUMAN,ABCF1,ATP-binding cassette sub-family F member 1,Homo sapiens,uniprot_api
Q8NHU2,CFA61_HUMAN,CFAP61,Cilia- and flagella-associated protein 61,Homo sapiens,uniprot_api
Q8IYA6,CKP2L_HUMAN,CKAP2L,Cytoskeleton-associated protein 2-like,Homo sapiens,uniprot_api
Q8NBS9,TXND5_HUMAN,TXNDC5,Thioredoxin domain-containing protein 5,Homo sapiens,uniprot_api
Q8N2I9,STK40_HUMAN,STK40,Serine/threonine-protein kinase 40,Homo sapiens,uniprot_api
Q8N841,TTLL6_HUMAN,TTLL6,Tubulin polyglutamylase TTLL6,Homo sapiens,uniprot_api
Q8N1G4,LRC47_HUMAN,LRRC47,Leucine-rich repeat-containing protein 47,Homo sapiens,uniprot_api
Q8NBX0,SCPDL_HUMAN,SCCPDH,Saccharopine dehydrogenase-like oxidoreductase,Homo sapiens,uniprot_api
Q8NFI4,F10A5_HUMAN,ST13P5,Putative protein FAM10A5,Homo sapiens,uniprot_api
Q8WZ59,TM190_HUMAN,TMEM190,Transmembrane protein 190,Homo sapiens,uniprot_api
Q92520,FAM3C_HUMAN,FAM3C,Protein FAM3C,Homo sapiens,uniprot_api
Q92541,RTF1_HUMAN,RTF1,RNA polymerase-associated protein RTF1 homolog,Homo sapiens,uniprot_api
Q8WUD1,RAB2B_HUMAN,RAB2B,Ras-related protein Rab-2B,Homo sapiens,uniprot_api
Q92526,TCPW_HUMAN,CCT6B,Probable T-complex protein 1 subunit zeta-2,Homo sapiens,uniprot_api
Q8TC12,RDH11_HUMAN,RDH11,Retinol dehydrogenase 11,Homo sapiens,uniprot_api
Q8TEU7,RPGF6_HUMAN,RAPGEF6,Rap guanine nucleotide exchange factor 6,Homo sapiens,uniprot_api
Q8TCT9,SPP_HUMAN,HM13,Signal peptide peptidase,Homo sapiens,uniprot_api
Q8TF09,DLRB2_HUMAN,DYNLRB2,Dynein light chain roadblock-type 2,Homo sapiens,uniprot_api
Q8WYK0,ACO12_HUMAN,ACOT12,Acetyl-coenzyme A thioesterase,Homo sapiens,uniprot_api
Q8TCJ2,STT3B_HUMAN,STT3B,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,Homo sapiens,uniprot_api
Q92506,DHB8_HUMAN,HSD17B8,(3R)-3-hydroxyacyl-CoA dehydrogenase,Homo sapiens,uniprot_api
Q92522,H1X_HUMAN,H1-10,Histone H1.10,Homo sapiens,uniprot_api
Q92538,GBF1_HUMAN,GBF1,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,Homo sapiens,uniprot_api
Q92558,WASF1_HUMAN,WASF1,Actin-binding protein WASF1,Homo sapiens,uniprot_api
Q92604,LGAT1_HUMAN,LPGAT1,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1,Homo sapiens,uniprot_api
Q8WU68,U2AF4_HUMAN,U2AF1L4,Splicing factor U2AF 26 kDa subunit,Homo sapiens,uniprot_api
Q8WUM4,PDC6I_HUMAN,PDCD6IP,Programmed cell death 6-interacting protein,Homo sapiens,uniprot_api
Q8WZ42,TITIN_HUMAN,TTN,Titin,Homo sapiens,uniprot_api
Q8TC90,CCER1_HUMAN,CCER1,Coiled-coil domain-containing glutamate-rich protein 1,Homo sapiens,uniprot_api
Q8WVC6,DCAKD_HUMAN,DCAKD,Dephospho-CoA kinase domain-containing protein,Homo sapiens,uniprot_api
Q8WWU7,ITLN2_HUMAN,ITLN2,Intelectin-2,Homo sapiens,uniprot_api
Q8NHW5,RLA0L_HUMAN,RPLP0P6,Putative ribosomal protein uL10-like,Homo sapiens,uniprot_api
Q8TD47,RS4Y2_HUMAN,RPS4Y2,"Small ribosomal subunit protein eS4, Y isoform 2",Homo sapiens,uniprot_api
Q8WUY1,THEM6_HUMAN,THEM6,Protein THEM6,Homo sapiens,uniprot_api
Q93088,BHMT1_HUMAN,BHMT,Betaine--homocysteine S-methyltransferase 1,Homo sapiens,uniprot_api
Q96CG8,CTHR1_HUMAN,CTHRC1,Collagen triple helix repeat-containing protein 1,Homo sapiens,uniprot_api
Q92887,MRP2_HUMAN,ABCC2,ATP-binding cassette sub-family C member 2,Homo sapiens,uniprot_api
Q93077,H2A1C_HUMAN,H2AC6,Histone H2A type 1-C,Homo sapiens,uniprot_api
Q969V3,NCLN_HUMAN,NCLN,BOS complex subunit NCLN,Homo sapiens,uniprot_api
Q969X5,ERGI1_HUMAN,ERGIC1,Endoplasmic reticulum-Golgi intermediate compartment protein 1,Homo sapiens,uniprot_api
Q92688,AN32B_HUMAN,ANP32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B,Homo sapiens,uniprot_api
Q92928,RAB1C_HUMAN,RAB1C,Putative Ras-related protein Rab-1C,Homo sapiens,uniprot_api
Q96CW1,AP2M1_HUMAN,AP2M1,AP-2 complex subunit mu,Homo sapiens,uniprot_api
Q92616,GCN1_HUMAN,GCN1,Stalled ribosome sensor GCN1,Homo sapiens,uniprot_api
Q92947,GCDH_HUMAN,GCDH,"Glutaryl-CoA dehydrogenase, mitochondrial",Homo sapiens,uniprot_api
Q92973,TNPO1_HUMAN,TNPO1,Transportin-1,Homo sapiens,uniprot_api
Q96A26,F162A_HUMAN,FAM162A,Protein FAM162A,Homo sapiens,uniprot_api
Q92901,RL3L_HUMAN,RPL3L,Ribosomal protein uL3-like,Homo sapiens,uniprot_api
Q92930,RAB8B_HUMAN,RAB8B,Ras-related protein Rab-8B,Homo sapiens,uniprot_api
Q93099,HGD_HUMAN,HGD,"Homogentisate 1,2-dioxygenase",Homo sapiens,uniprot_api
Q96BW5,PTER_HUMAN,PTER,N-acetyltaurine hydrolase,Homo sapiens,uniprot_api
Q93008,USP9X_HUMAN,USP9X,Ubiquitin carboxyl-terminal hydrolase 9X,Homo sapiens,uniprot_api
Q969Z3,MARC2_HUMAN,MTARC2,Mitochondrial amidoxime reducing component 2,Homo sapiens,uniprot_api
Q969P6,TOP1M_HUMAN,TOP1MT,"DNA topoisomerase I, mitochondrial",Homo sapiens,uniprot_api
Q93084,AT2A3_HUMAN,ATP2A3,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,Homo sapiens,uniprot_api
Q96A23,CPNE4_HUMAN,CPNE4,Copine-4,Homo sapiens,uniprot_api
Q969Q0,RL36L_HUMAN,RPL36AL,Ribosomal protein eL42-like,Homo sapiens,uniprot_api
Q96DC8,ECHD3_HUMAN,ECHDC3,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",Homo sapiens,uniprot_api
Q96AB3,ISOC2_HUMAN,ISOC2,Isochorismatase domain-containing protein 2,Homo sapiens,uniprot_api
Q96FN4,CPNE2_HUMAN,CPNE2,Copine-2,Homo sapiens,uniprot_api
Q96FJ2,DYL2_HUMAN,DYNLL2,"Dynein light chain 2, cytoplasmic",Homo sapiens,uniprot_api
Q96HR9,REEP6_HUMAN,REEP6,Receptor expression-enhancing protein 6,Homo sapiens,uniprot_api
Q96FQ6,S10AG_HUMAN,S100A16,Protein S100-A16,Homo sapiens,uniprot_api
Q96KP4,CNDP2_HUMAN,CNDP2,Cytosolic non-specific dipeptidase,Homo sapiens,uniprot_api
Q96PD5,PGRP2_HUMAN,PGLYRP2,N-acetylmuramoyl-L-alanine amidase,Homo sapiens,uniprot_api
Q96DG6,CMBL_HUMAN,CMBL,Carboxymethylenebutenolidase homolog,Homo sapiens,uniprot_api
Q96G23,CERS2_HUMAN,CERS2,Ceramide synthase 2,Homo sapiens,uniprot_api
Q96KG7,MEG10_HUMAN,MEGF10,Multiple epidermal growth factor-like domains protein 10,Homo sapiens,uniprot_api
Q96N76,HUTU_HUMAN,UROC1,Urocanate hydratase,Homo sapiens,uniprot_api
Q96QV6,H2A1A_HUMAN,H2AC1,Histone H2A type 1-A,Homo sapiens,uniprot_api
Q96EY7,PTCD3_HUMAN,PTCD3,Small ribosomal subunit protein mS39,Homo sapiens,uniprot_api
Q96HR3,MED30_HUMAN,MED30,Mediator of RNA polymerase II transcription subunit 30,Homo sapiens,uniprot_api
Q96HY6,DDRGK_HUMAN,DDRGK1,DDRGK domain-containing protein 1,Homo sapiens,uniprot_api
Q96KK5,H2A1H_HUMAN,H2AC12,Histone H2A type 1-H,Homo sapiens,uniprot_api
Q96P63,SPB12_HUMAN,SERPINB12,Serpin B12,Homo sapiens,uniprot_api
Q96I99,SUCB2_HUMAN,SUCLG2,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",Homo sapiens,uniprot_api
Q96IU4,ABHEB_HUMAN,ABHD14B,Putative protein-lysine deacylase ABHD14B,Homo sapiens,uniprot_api
Q96IX5,ATPMK_HUMAN,ATP5MK,"ATP synthase F(0) complex subunit k, mitochondrial",Homo sapiens,uniprot_api
Q96IY4,CBPB2_HUMAN,CPB2,Carboxypeptidase B2,Homo sapiens,uniprot_api
Q96PD4,IL17F_HUMAN,IL17F,Interleukin-17F,Homo sapiens,uniprot_api
Q96QR8,PURB_HUMAN,PURB,Transcriptional regulator protein Pur-beta,Homo sapiens,uniprot_api
Q96IJ6,GMPPA_HUMAN,GMPPA,Mannose-1-phosphate guanylyltransferase regulatory subunit alpha,Homo sapiens,uniprot_api
Q96HA1,P121A_HUMAN,POM121,Nuclear envelope pore membrane protein POM 121,Homo sapiens,uniprot_api
Q96QD5,DEPD7_HUMAN,DEPDC7,DEP domain-containing protein 7,Homo sapiens,uniprot_api
Q9BRL6,SRSF8_HUMAN,SRSF8,Serine/arginine-rich splicing factor 8,Homo sapiens,uniprot_api
Q96SB4,SRPK1_HUMAN,SRPK1,SRSF protein kinase 1,Homo sapiens,uniprot_api
Q9BQE5,APOL2_HUMAN,APOL2,Apolipoprotein L2,Homo sapiens,uniprot_api
Q96RQ3,MCCA_HUMAN,MCCC1,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",Homo sapiens,uniprot_api
Q99729,ROAA_HUMAN,HNRNPAB,Heterogeneous nuclear ribonucleoprotein A/B,Homo sapiens,uniprot_api
Q9BSJ8,ESYT1_HUMAN,ESYT1,Extended synaptotagmin-1,Homo sapiens,uniprot_api
Q99714,HCD2_HUMAN,HSD17B10,3-hydroxyacyl-CoA dehydrogenase type-2,Homo sapiens,uniprot_api
Q9BQB6,VKOR1_HUMAN,VKORC1,Vitamin K epoxide reductase complex subunit 1,Homo sapiens,uniprot_api
Q9BRP8,PYM1_HUMAN,PYM1,Partner of Y14 and mago,Homo sapiens,uniprot_api
Q96S44,PRPK_HUMAN,TP53RK,EKC/KEOPS complex subunit TP53RK,Homo sapiens,uniprot_api
Q99424,ACOX2_HUMAN,ACOX2,Peroxisomal acyl-coenzyme A oxidase 2,Homo sapiens,uniprot_api
Q99575,POP1_HUMAN,POP1,Ribonucleases P/MRP protein subunit POP1,Homo sapiens,uniprot_api
Q99613,EIF3C_HUMAN,EIF3C,Eukaryotic translation initiation factor 3 subunit C,Homo sapiens,uniprot_api
Q99878,H2A1J_HUMAN,H2AC14,Histone H2A type 1-J,Homo sapiens,uniprot_api
Q9BPW8,NIPS1_HUMAN,NIPSNAP1,Protein NipSnap homolog 1,Homo sapiens,uniprot_api
Q9BQE3,TBA1C_HUMAN,TUBA1C,Tubulin alpha-1C chain,Homo sapiens,uniprot_api
Q96SI9,STRBP_HUMAN,STRBP,Spermatid perinuclear RNA-binding protein,Homo sapiens,uniprot_api
Q99735,MGST2_HUMAN,MGST2,Microsomal glutathione S-transferase 2,Homo sapiens,uniprot_api
Q9BRZ2,TRI56_HUMAN,TRIM56,E3 ubiquitin-protein ligase TRIM56,Homo sapiens,uniprot_api
Q99623,PHB2_HUMAN,PHB2,Prohibitin-2,Homo sapiens,uniprot_api
Q9BRF8,CPPED_HUMAN,CPPED1,Serine/threonine-protein phosphatase CPPED1,Homo sapiens,uniprot_api
Q9BSH5,HDHD3_HUMAN,HDHD3,Haloacid dehalogenase-like hydrolase domain-containing protein 3,Homo sapiens,uniprot_api
Q9BTM1,H2AJ_HUMAN,H2AJ,Histone H2A.J,Homo sapiens,uniprot_api
Q9BRJ6,CHOLN_HUMAN,CHLSN,Protein cholesin,Homo sapiens,uniprot_api
Q96RM1,SPR2F_HUMAN,SPRR2F,Small proline-rich protein 2F,Homo sapiens,uniprot_api
Q9BW85,YJU2_HUMAN,YJU2,Splicing factor YJU2,Homo sapiens,uniprot_api
Q9BXS5,AP1M1_HUMAN,AP1M1,AP-1 complex subunit mu-1,Homo sapiens,uniprot_api
Q9BYX7,ACTBM_HUMAN,POTEKP,Putative beta-actin-like protein 3,Homo sapiens,uniprot_api
Q9H0C2,ADT4_HUMAN,SLC25A31,ADP/ATP translocase 4,Homo sapiens,uniprot_api
Q9H0U4,RAB1B_HUMAN,RAB1B,Ras-related protein Rab-1B,Homo sapiens,uniprot_api
Q9BVK6,TMED9_HUMAN,TMED9,Transmembrane emp24 domain-containing protein 9,Homo sapiens,uniprot_api
Q9BXN1,ASPN_HUMAN,ASPN,Asporin,Homo sapiens,uniprot_api
Q9BY64,UDB28_HUMAN,UGT2B28,UDP-glucuronosyltransferase 2B28,Homo sapiens,uniprot_api
Q9BVA1,TBB2B_HUMAN,TUBB2B,Tubulin beta-2B chain,Homo sapiens,uniprot_api
Q9BY49,PECR_HUMAN,PECR,Peroxisomal trans-2-enoyl-CoA reductase,Homo sapiens,uniprot_api
Q9BY50,SC11C_HUMAN,SEC11C,Signal peptidase complex catalytic subunit SEC11C,Homo sapiens,uniprot_api
Q9BYK8,HELZ2_HUMAN,HELZ2,3'-5' exoribonuclease HELZ2,Homo sapiens,uniprot_api
Q9BUF5,TBB6_HUMAN,TUBB6,Tubulin beta-6 chain,Homo sapiens,uniprot_api
Q9BXJ9,NAA15_HUMAN,NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",Homo sapiens,uniprot_api
Q9H1K4,GHC2_HUMAN,SLC25A18,Mitochondrial glutamate carrier 2,Homo sapiens,uniprot_api
Q9H223,EHD4_HUMAN,EHD4,EH domain-containing protein 4,Homo sapiens,uniprot_api
Q9BUJ2,HNRL1_HUMAN,HNRNPUL1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,Homo sapiens,uniprot_api
Q9BTT0,AN32E_HUMAN,ANP32E,Acidic leucine-rich nuclear phosphoprotein 32 family member E,Homo sapiens,uniprot_api
Q9BTZ2,DHRS4_HUMAN,DHRS4,Dehydrogenase/reductase SDR family member 4,Homo sapiens,uniprot_api
Q9H0U3,MAGT1_HUMAN,MAGT1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1,Homo sapiens,uniprot_api
